Station_Name,	Country,	Latitude,	Longitude,
ADAR00GBR,	United Kingdom,	52.7892,	-4.7413,
ARIS00GBR,	United Kingdom,	56.9095,	-5.8495,
CHIO00GBR,	United Kingdom,	51.1489,	-1.4383,
DARE00GBR,	United Kingdom,	53.3448,	-2.6405,
EDIN00GBR,	United Kingdom,	55.9247,	-3.2948,
ENIS00GBR,	United Kingdom,	54.3954,	-7.6449,
FOYL00GBR,	United Kingdom,	54.9837,	-7.3366,
HERS00GBR,	United Kingdom,	50.8673,	0.3362,
HERT00GBR,	United Kingdom,	50.8674,	0.3344,
INVR00GBR,	United Kingdom,	57.4862,	-4.2193,
LERI00GBR,	United Kingdom,	60.1383,	-1.1837,
MORP00GBR,	United Kingdom,	55.2127,	-1.6855,
NEWL00GBR,	United Kingdom,	50.103,		-5.5428,
PMTH00GBR,	United Kingdom,	50.4164,	-4.1262,
SCIL00GBR,	United Kingdom,	49.9145,	-6.2958,
SHOE00GBR,	United Kingdom,	51.5547,	0.827,
SNEO00GBR,	United Kingdom,	52.1853,	-0.1125,
SWAS00GBR,	United Kingdom,	51.5655,	-3.9818,
AJAC00FRA,	France,		41.9274,	8.7626,
AUTN00FRA,	France,		46.9538,	4.289,
AXPV00FRA,	France,		43.4912,	5.3332,
BRMF00FRA,	France,		45.726,		4.9384,
BRST00FRA,	France,		48.3804,	-4.4966,
BSCN00FRA,	France,		47.2468,	5.9894,
CAEN00FRA,	France,		49.1826,	-0.4571,
CHIZ00FRA,	France,		46.1334,	-0.4077,
CREI00FRA,	France,		49.2629,	2.5118,
EGLT00FRA,	France,		45.4033,	2.052,
ENTZ00FRA,	France,		48.5493,	7.6399,
GRAC00FRA,	France,		43.7544,	6.9208,
GRAS00FRA,	France,		43.7547,	6.9206,
GUIP00FRA,	France,		48.4446,	-4.4118,
ILDX00FRA,	France,		46.0094,	-1.1768,
LIL200FRA,	France,		50.6135,	3.1359,
LROC00FRA,	France,		46.1589,	-1.2193,
MAN200FRA,	France,		48.0186,	0.1553,
MARS00FRA,	France,		43.2787,	5.3538,
MLVL00FRA,	France,		48.841,		2.5873,
PUYV00FRA,	France,		45.0436,	3.8789,
SCOA00FRA,	France,		43.3952,	-1.6817,
SJDV00FRA,	France,		45.879,		4.6766,
SMNE00FRA,	France,		48.8444,	2.425,
TLMF00FRA,	France,		43.5746,	1.3751,
TLSE00FRA,	France,		43.5606,	1.4809,
VFCH00FRA,	France,		47.2941,	1.7197,
